year,location,thumbnail
1987,"Jalapa, Veracruz",Logo-omm.png
1988,"Hermosillo, Sonora",Logo-omm.png
1989,"Metepec, Puebla",Logo-omm.png
1990,"Guanajuato, Guanajuato",Logo-omm.png
1991,"Oaxtepec, Morelos",Logo-omm.png
1992,"La Trinidad, Tlaxcala",Logo-omm.png
1993,"Acapulco, Guerrero",Logo-omm.png
1994,"Guadalajara, Jalisco",Logo-omm.png
1995,"Colima, Colima",Logo-omm.png
1996,"Mérida, Yucatán",Logo-omm.png
1997,"Monterrey, Nuevo León",Logo-omm.png
1998,"Querétaro, Querétaro",Logo-omm.png
1999,"Oaxaca, Oaxaca",Logo-omm.png
2000,"Morelia, Michoacán",Logo-omm.png
2001,"Oaxtepec, Morelos",Logo-omm.png
2002,"Colima, Colima",Logo-omm.png
2003,"Guanajuato, Guanajuato",Logo-omm.png
2004,"Ixtapan de la Sal, Estado de México",Logo-omm.png
2005,"Campeche, Campeche",Logo-omm.png
2006,"Zacatecas, Zacatecas",Logo-omm.png
2007,"Saltillo, Coahuila",Logo-omm.png
2008,"San Carlos, Sonora",Logo-omm.png
2009,"Campeche, Campeche",Logo-omm.png
2010,"Ensenada, Baja California",Logo-omm.png
2011,"San Luis Potosí, San Luis Potosí",Logo-omm.png
2012,"Guanajuato, Guanajuato",Logo-omm.png
2013,"Huasca, Hidalgo",Logo-omm.png
2014,"Toluca, Estado de México",Logo-omm.png
2015,"Guadalajara, Jalisco",Logo-omm.png
2016,"Acapulco, Guerrero",Logo-omm.png
2017,"Santiago, Nuevo León",Logo-omm.png
2018,"Campeche, Campeche",Logo-omm.png
2019,Ciudad de México,Logo-omm.png
2020,Virtual,Logo-omm.png
2021,Virtual,Logo-omm.png
